Unique_Squirrel_Id,Latitude,Longitude,Shift,Date,Age,Location,Specific_Location,Primary_Fur_Color,Running,Chasing,Climbing,Eating,Foraging,Other_Activities,Kuks,Quaas,Moans,Tail_flags,Tail_twitches,Approaches,Indifferent,Runs_from
29H-PM-1006-01,40.78738625,-73.9576246,PM,2018-10-06,Adult,Above Ground,,Gray,False,False,True,False,False,Sitting,False,False,False,False,False,False,True,False
23C-PM-1014-03,40.78450981,-73.96660079,PM,2018-10-14,Adult,Above Ground,,Gray,False,True,False,False,False,Chasing (#4 Across Trees),False,False,False,False,False,False,False,False
33C-PM-1007-03,40.79226455,-73.96148484,PM,2018-10-07,Adult,Ground Plane,,Gray,False,False,False,False,True,,False,False,False,False,True,False,True,False
38G-PM-1020-09,40.79476392,-73.95466542,PM,2018-10-20,Adult,Ground Plane,,Gray,False,False,False,True,True,,False,False,False,True,False,False,True,False
16G-PM-1017-01,40.77688047,-73.9667114,PM,2018-10-17,Adult,Ground Plane,,Gray,False,False,False,False,True,,False,False,False,False,False,False,True,False
36I-PM-1007-07,40.79218225,-73.95300356,PM,2018-10-07,Adult,Ground Plane,,Gray,False,False,False,False,True,,False,False,False,False,False,False,True,False
35A-AM-1014-03,40.79512786,-73.96156966,AM,2018-10-14,Adult,Ground Plane,,Gray,False,False,False,False,True,,False,False,False,False,False,False,True,False
28C-PM-1006-01,40.78838401,-73.96447484,PM,2018-10-06,Adult,Ground Plane,,Gray,False,False,False,False,False,Gathering Acorns,False,False,False,True,False,False,False,True
32D-AM-1013-06,40.79148297,-73.96107056,AM,2018-10-13,Adult,Ground Plane,,Cinnamon,True,False,False,True,True,"Eating (A Mushroom),Circles Around Us,Really Fat,Scratching Himself,Grooming Activity",False,False,False,False,True,True,False,False
22A-AM-1008-05,40.78453013,-73.96884545,AM,2018-10-08,Adult,Above Ground,trash can,Gray,False,False,False,True,False,,False,False,False,True,False,False,False,True
40B-PM-1014-06,40.79809595,-73.95782372,PM,2018-10-14,Adult,Ground Plane,,Gray,True,False,False,False,False,,False,False,False,False,False,False,True,False
19C-PM-1018-01,40.78097194,-73.96882712,PM,2018-10-18,Adult,Ground Plane,,Gray,True,True,False,True,False,,False,False,False,False,True,False,True,False
35A-PM-1013-06,40.79445851,-73.96170887,PM,2018-10-13,Adult,Ground Plane,,Cinnamon,True,False,False,False,False,,False,False,False,False,False,False,False,True
14E-AM-1008-09,40.77665306,-73.97018248,AM,2018-10-08,Adult,Ground Plane,,Gray,True,True,False,False,False,,True,False,False,False,False,False,False,True
15G-PM-1019-05,40.77660435,-73.96764105,PM,2018-10-19,Adult,Above Ground,,Gray,False,False,True,False,False,,False,False,False,False,False,False,False,False
10F-AM-1007-02,40.7723572,-73.97087261,AM,2018-10-07,Adult,Above Ground,,Gray,False,False,True,False,False,,False,False,False,False,False,False,False,False
42E-PM-1012-06,40.79821622,-73.95414535,PM,2018-10-12,Adult,Ground Plane,,Cinnamon,True,False,False,False,True,,False,False,False,False,False,False,False,True
22B-AM-1013-04,40.78429274,-73.96836083,AM,2018-10-13,Adult,Ground Plane,Under bench,Cinnamon,False,False,False,False,True,,False,False,False,False,False,False,False,True
15F-PM-1010-06,40.77733867,-73.96805206,PM,2018-10-10,Adult,Ground Plane,,Gray,False,False,False,False,True,,False,False,False,False,False,False,True,False
5A-AM-1006-05,40.77158779,-73.97871809,AM,2018-10-06,Adult,Ground Plane,near 65th St arch,Gray,False,False,False,False,True,,False,False,False,True,False,False,False,True
32H-PM-1006-01,40.78956541,-73.95659059,PM,2018-10-06,,Above Ground,in the European Beech,Gray,False,False,True,False,False,,False,False,False,False,False,False,False,False
42C-AM-1007-02,40.79924617,-73.95657597,AM,2018-10-07,,,,,False,False,False,False,False,,False,True,False,False,False,False,False,False
41D-AM-1014-01,40.79873847,-73.95515395,AM,2018-10-14,Adult,Ground Plane,,Gray,False,False,False,False,True,Digging,False,False,False,False,False,False,True,False
21G-PM-1007-01,40.7813538,-73.96419718,PM,2018-10-07,Adult,Ground Plane,,Gray,False,False,False,True,False,,False,False,False,True,False,False,True,False
14E-AM-1008-02,40.77685537,-73.9692884,AM,2018-10-08,Adult,Ground Plane,,Gray,True,False,False,False,True,Walking,False,False,False,False,False,False,False,True
7H-PM-1006-04,40.7699587,-73.97085497,PM,2018-10-06,Adult,Above Ground,on tree knob,Gray,False,False,False,False,False,Sitting,False,False,False,False,False,False,True,False
22F-AM-1007-01,40.7825112,-73.9639744,AM,2018-10-07,Adult,Ground Plane,,Gray,False,False,True,False,True,,False,False,False,False,False,False,True,False
7F-AM-1008-16,40.77121455,-73.97302779,AM,2018-10-08,Juvenile,Above Ground,tree,Gray,False,False,False,False,False,,False,False,False,False,False,False,False,True
10F-PM-1019-05,40.77246916,-73.97105414,PM,2018-10-19,Adult,Above Ground,"Behind fence, tree",Black,False,False,True,False,False,,False,False,False,False,False,False,True,False
10A-AM-1006-04,40.77472136,-73.97615925,AM,2018-10-06,Juvenile,Above Ground,tree near large rock on Bridle Path,Gray,False,False,False,False,False,Walking On Branch,False,False,False,False,True,False,False,False
38F-PM-1013-05,40.79506897,-73.95440077,PM,2018-10-13,Juvenile,Ground Plane,,Gray,False,False,False,False,True,"Being Chased,Was Pushed By Other Squirrel",True,True,False,False,False,False,False,False
41B-PM-1014-01,40.79936813,-73.95759862,PM,2018-10-14,Adult,Above Ground,Climbing tree,Gray,False,False,True,False,False,Climbing (Tree),False,False,False,False,False,False,False,True
